name,spi_cat,time,value,month
Banikoara,006 F Severely Dry,1985-12-01,4.10958904109589,dic
Banikoara,005 E Moderately Dry,1985-12-01,89.7260273972603,dic
Banikoara,004 D Normal,1985-12-01,6.16438356164384,dic
Banikoara,003 C Moderately Wet,1985-12-01,0,dic
Banikoara,002 B Severely Wet,1985-12-01,0,dic
Banikoara,001 A Extremely Wet,1985-12-01,0,dic
Banikoara,007 G Extremey Dry,1986-01-01,65.0684931506849,gen
Banikoara,006 F Severely Dry,1986-01-01,0,gen
Banikoara,005 E Moderately Dry,1986-01-01,0,gen
Banikoara,004 D Normal,1986-01-01,34.9315068493151,gen
Banikoara,003 C Moderately Wet,1986-01-01,0,gen
Banikoara,002 B Severely Wet,1986-01-01,0,gen
Banikoara,001 A Extremely Wet,1986-01-01,0,gen
Banikoara,007 G Extremey Dry,1986-02-01,0.684931506849315,feb
Banikoara,006 F Severely Dry,1986-02-01,6.16438356164384,feb
Banikoara,005 E Moderately Dry,1986-02-01,26.7123287671233,feb
Banikoara,004 D Normal,1986-02-01,66.4383561643836,feb
Banikoara,003 C Moderately Wet,1986-02-01,0,feb
Banikoara,002 B Severely Wet,1986-02-01,0,feb
Banikoara,001 A Extremely Wet,1986-02-01,0,feb
Banikoara,007 G Extremey Dry,1986-03-01,0,mar
Banikoara,006 F Severely Dry,1986-03-01,0,mar
Banikoara,005 E Moderately Dry,1986-03-01,0,mar
Banikoara,004 D Normal,1986-03-01,100,mar
Banikoara,003 C Moderately Wet,1986-03-01,0,mar
Banikoara,002 B Severely Wet,1986-03-01,0,mar
Banikoara,001 A Extremely Wet,1986-03-01,0,mar
Banikoara,007 G Extremey Dry,1986-04-01,0,apr
Banikoara,006 F Severely Dry,1986-04-01,0,apr
Banikoara,005 E Moderately Dry,1986-04-01,0,apr
Banikoara,004 D Normal,1986-04-01,60.958904109589,apr
Banikoara,003 C Moderately Wet,1986-04-01,39.041095890411,apr
Banikoara,002 B Severely Wet,1986-04-01,0,apr
Banikoara,001 A Extremely Wet,1986-04-01,0,apr
Banikoara,007 G Extremey Dry,1986-05-01,0,mag
Banikoara,006 F Severely Dry,1986-05-01,0,mag
Banikoara,005 E Moderately Dry,1986-05-01,0,mag
Banikoara,004 D Normal,1986-05-01,100,mag
Banikoara,003 C Moderately Wet,1986-05-01,0,mag
Banikoara,002 B Severely Wet,1986-05-01,0,mag
Banikoara,001 A Extremely Wet,1986-05-01,0,mag
Banikoara,007 G Extremey Dry,1986-06-01,0,giu
Banikoara,006 F Severely Dry,1986-06-01,0,giu
Banikoara,005 E Moderately Dry,1986-06-01,2.05479452054794,giu
Banikoara,004 D Normal,1986-06-01,97.9452054794521,giu
Banikoara,003 C Moderately Wet,1986-06-01,0,giu
Banikoara,002 B Severely Wet,1986-06-01,0,giu
Banikoara,001 A Extremely Wet,1986-06-01,0,giu
